16 16 00
55 2 49 64 94 87 14 90 63 68 68 75 75 2 23 82
27 51 65 75 85 71 57 38 39 0 7 1 46 39 12 68
41 28 31 0 14 45 91 43 12 58 17 53 26 41 0 19
92 31 60 42 1 17 46 41 84 54 8 97 93 20 64 0
14 61 0 28 72 57 71 50 81 89 70 7 96 70 26 87
1 87 95 69 70 40 9 19 94 84 15 87 71 45 87 85
5 53 13 43 10 50 94 91 38 63 98 33 99 91 86 66
43 80 35 79 20 10 98 80 61 13 66 31 24 18 82 97
72 61 39 48 11 99 38 49 27 2 49 26 59 0 58 1
81 59 80 67 70 77 46 97 56 79 27 81 63 75 77 0
36 82 48 47 81 53 62 7 55 77 100 13 78 24 81 24
83 26 91 18 2 2 14 25 47 7 72 10 83 14 10 18
96 25 65 42 78 93 16 32 70 15 11 47 5 58 71 89
84 27 73 86 96 88 77 43 95 48 19 43 62 96 61 24
20 92 66 98 85 82 96 20 64 73 67 69 30 3 23 13
97 97 66 58 50 42 0 44 57 86 54 85 82 14 8 1
