16 16
35668 39733 34384 31224 30959 20729 29916 38585 36359 38860 30535 33860 38919 41113 30457 36239
31680 34920 24323 23239 29860 17002 28471 35969 36265 38333 24485 30949 32742 39008 29450 37371
46891 53189 36089 40811 41355 23574 42393 48392 62258 45211 50086 49841 56097 50263 39656 51068
37534 39655 32466 32327 30856 19716 32822 42303 38592 34519 44871 36141 40261 31368 23670 39079
44411 48920 39430 34686 33927 29099 38220 50581 48018 47706 42081 43170 41355 44299 33198 46568
47680 49120 40816 36954 39372 24054 38748 47592 47990 45387 35161 38092 49524 53429 37522 0
36307 35553 28503 22946 27898 26025 32128 37071 36221 35484 33657 31457 33637 30993 21906 0
47766 44637 38984 38432 41950 25081 42988 48828 48973 46825 42270 40465 49747 51738 33717 0
48783 47409 38609 38006 36796 26447 43701 49170 50203 45077 42575 41538 49239 48921 31797 0
32672 30860 22144 22153 30180 25589 31554 28809 35698 31852 27164 29515 32890 33921 22783 0
49180 54721 37955 38349 45542 26970 40737 57582 52945 50945 46022 46041 47393 50937 41508 0
53700 48754 41284 36508 35282 36353 41715 43047 53989 49715 38406 47957 50819 53497 33052 0
43380 40969 34704 36432 33896 20787 36824 45677 47016 38411 38646 33584 46223 44927 32518 0
53141 47068 35597 39368 41138 35024 43623 46221 56369 49021 43177 49118 49115 49246 31059 0
51095 44403 42731 39122 30929 35385 38978 47347 49632 49837 39907 48965 47226 47818 27159 0
38331 40382 28230 31072 32186 18833 28647 39649 39309 40731 32531 35816 42981 39275 32105 0
