16 16 00
3 25 64 69 14 28 58 31 59 56 48 86 28 81 45 12
37 1 70 29 64 89 31 41 93 20 1 67 83 73 0 52
98 64 20 78 93 78 8 17 100 22 2 95 2 48 6 39
15 43 34 79 31 66 87 23 52 54 56 34 93 57 52 56
87 72 34 79 15 42 63 15 65 65 9 67 79 82 73 95
91 6 39 21 38 92 10 91 46 67 91 38 90 43 95 76
81 28 21 63 70 84 78 0 48 53 68 94 0 40 88 92
12 93 12 17 85 23 7 30 56 64 34 45 73 28 87 20
22 7 83 59 91 26 59 5 79 26 99 79 32 52 70 11
44 83 28 95 72 1 91 27 65 25 38 4 19 24 24 8
99 73 67 89 99 25 60 77 18 24 21 16 42 58 27 53
6 55 47 78 56 38 71 88 29 8 58 48 99 48 56 97
20 89 52 18 14 78 61 99 2 48 14 44 5 42 97 11
63 10 55 19 48 25 73 77 100 30 91 99 78 13 95 98
1 12 82 82 91 8 80 93 22 61 2 28 2 66 5 65
76 61 50 90 86 22 32 52 52 22 50 96 1 10 59 70
