16 16
80 14 98 38 37 58 40 31 60 72 2 91 47 63 7 2
15 29 34 67 48 23 83 9 24 59 69 94 48 8 11 27
90 8 31 93 32 38 90 58 9 92 48 23 55 55 25 36
51 60 69 65 83 51 74 73 76 42 67 24 17 44 17 73
18 49 65 50 87 54 7 62 11 21 85 32 77 10 68 94
70 36 24 52 53 98 24 96 6 57 86 90 67 2 62 85
17 26 34 70 46 41 32 23 63 16 56 5 26 23 65 62
26 89 80 45 52 71 6 58 27 92 47 61 61 75 45 78
67 46 14 12 53 46 36 82 28 58 87 21 47 17 83 73
72 63 85 24 33 91 48 26 49 62 53 9 36 99 53 3
10 67 82 63 79 84 45 7 41 98 95 89 82 43 27 53
5 78 77 4 69 25 98 17 53 16 93 89 81 45 58 91
12 40 54 91 90 65 64 31 62 58 86 43 1 12 63 73
91 39 44 25 30 7 8 83 23 0 38 4 45 96 61 23
1 14 81 92 45 44 89 74 69 74 83 36 52 45 75 8
85 18 100 81 92 7 30 82 74 34 52 86 96 12 8 98
