35 35 00
77 -63 41 78 44 -95 -30 56 33 91 -58 -7 94 -94 -36 80 -25 -82 89 -49 -68 -31 32 28 -6 96 -43 7 66 66 46 -8 -97 -63 -81
-3 -58 -61 -98 25 -70 -56 -83 74 -49 -19 54 26 -50 -8 28 -18 62 -41 60 -95 -95 -84 12 21 83 -93 63 36 -56 83 -68 -64 -79 85
61 -99 -71 79 26 -70 -91 -71 6 -41 21 -67 42 -18 -57 1 -63 99 -32 -1 -31 -100 7 -69 -14 1 -87 -32 -12 86 -48 -52 37 -19 77
-38 11 87 -9 68 96 -88 51 37 -56 94 89 -68 42 -94 31 -90 -94 88 -58 -8 -11 -95 60 77 41 62 75 -22 -57 2 -10 4 -62 82
-29 -67 44 -78 21 38 66 9 70 8 -35 1 -32 -79 -12 10 -37 27 -34 73 -47 -94 34 -72 -66 77 -20 -25 -69 18 -44 -48 51 50 -26
-29 -13 91 30 -43 -52 95 8 16 -85 46 77 -72 -27 -58 -100 26 99 35 4 84 -39 84 -42 -8 -49 -36 45 -98 -87 69 -77 -50 59 4
-43 -94 -52 15 -27 -86 -39 -51 -58 -16 -9 -57 60 -61 78 -36 -78 -62 98 -70 -19 100 -6 76 52 -43 44 75 8 -47 -22 15 -91 -23 -70
-18 -9 -9 -19 33 75 72 76 34 62 3 48 34 -8 -4 65 73 -5 -42 48 -54 16 -59 71 74 -56 100 -12 -46 -24 -32 -14 67 59 68
-51 -17 -11 -75 68 -50 -22 15 35 70 61 -1 42 -95 57 -61 -49 -78 -19 73 96 -25 72 -66 29 -53 2 66 64 -89 -17 -88 -56 72 -63
-89 73 -34 -23 7 -65 -63 -95 28 -57 12 67 -56 35 98 -84 -20 -27 88 -36 52 85 17 17 48 28 100 61 72 22 48 34 -6 -87 -90
51 100 98 6 27 91 -83 -7 86 2 -59 -99 33 14 40 97 -35 -26 -37 33 73 91 -18 -17 13 -97 -70 97 -53 95 -94 98 44 54 3
-30 45 -29 13 -20 73 54 -19 -45 -83 71 -48 -67 96 15 16 68 -44 98 -50 19 -99 -70 15 99 75 -29 97 18 -76 -51 38 19 20 -49
99 -57 55 -70 -2 73 51 0 56 46 66 -29 13 72 -32 63 -10 -81 44 55 -82 18 -75 -86 87 100 -87 24 19 34 25 -33 27 -20 -3
-76 -98 -52 -25 58 94 -60 -72 -43 -89 -54 70 -49 -34 13 -95 -66 82 81 99 68 80 -89 -9 -52 -5 -84 16 -79 -54 63 97 -52 -90 -29
56 55 11 34 -89 -28 30 31 23 96 -56 -22 80 76 -42 78 43 88 90 84 -64 -66 50 2 -44 96 -36 -48 94 -75 23 -1 80 84 83
41 -45 13 -29 78 -42 -35 -45 -62 -60 -37 -85 33 -100 55 17 -64 90 -34 -12 96 -88 53 -53 56 78 20 -95 7 3 88 -53 8 0 -32
-15 59 -16 -10 97 -26 3 62 -93 3 17 -26 -10 -44 -10 78 -49 -48 -20 -52 -92 -43 18 64 64 71 51 61 -22 -49 80 13 -91 -37 -98
56 37 -45 17 -6 58 -67 68 98 -61 -92 76 -10 -40 -45 -12 -82 -37 -95 82 -74 76 33 38 -97 34 17 16 43 30 18 -52 -34 23 65
11 -19 49 -72 -22 88 -64 -97 -72 -3 -91 -34 -35 -28 -28 -53 -52 98 30 86 -99 -37 -48 17 56 82 86 -97 99 8 18 9 39 -34 37
68 -96 24 21 83 71 30 -52 -65 -99 -30 -68 -50 -32 62 86 -81 75 89 -14 30 70 -79 -17 68 -20 -99 -74 -82 -83 64 36 -79 -63 -43
54 -93 87 -98 -58 39 -28 -25 39 -10 87 -26 -41 62 -38 46 -9 -68 17 75 50 97 26 77 -85 43 -10 1 15 27 58 -32 34 -5 -80
76 -67 -57 -100 72 33 88 -55 43 49 8 -62 90 -10 55 14 -61 52 -61 -85 67 33 -45 -33 98 82 76 -35 15 -30 -64 -59 -47 -21 -59
75 62 79 -81 4 27 -23 42 -33 17 -3 81 7 -52 -80 22 65 53 78 82 0 9 7 65 -76 77 51 -85 80 -71 -94 54 42 86 24
-55 -38 -100 38 29 -32 85 10 75 -68 -20 -54 47 83 74 -22 -18 -17 86 97 -43 62 48 -28 -8 27 -22 -55 -82 -37 69 -86 -24 20 52
55 88 36 -36 12 18 -6 58 -86 -24 32 -8 8 -86 -23 5 -29 90 -98 -7 -19 -21 71 -24 -2 85 -55 12 -40 65 -37 -86 2 49 -71
-87 -84 23 71 81 50 -48 -28 -43 -84 0 12 -63 -61 14 30 20 94 1 96 -9 -15 91 -98 -5 5 -85 -41 -94 14 -12 70 30 62 -9
-40 11 43 32 18 60 82 -70 97 -80 44 -23 -10 -13 78 -14 28 -88 -74 -20 -43 32 -5 16 38 59 -96 -42 -12 16 49 -2 77 -9 -70
-6 -100 62 24 48 83 -82 -76 -28 -45 52 8 84 64 35 -37 -80 -34 9 -14 54 -33 -60 -89 6 56 60 -97 32 -99 84 -74 -99 46 0
-1 28 -32 23 50 24 -26 -42 7 88 93 20 -93 -92 -72 -56 62 -54 -16 24 52 -60 -67 55 22 -66 -11 -2 87 -66 99 -15 12 -34 -92
-39 40 -68 19 97 -80 11 17 78 -31 -5 -79 82 41 -44 5 -58 -4 38 48 68 23 -64 -34 -41 -30 -36 44 82 -20 2 -58 -80 35 12
67 5 73 -67 -18 -58 29 -46 -77 -81 10 -22 -38 56 66 -91 23 -12 -55 89 47 -35 -98 -59 97 -67 -7 89 -97 78 0 70 -18 -27 -97
15 -35 32 19 -12 1 -72 16 13 34 -19 22 -44 20 17 96 -84 32 48 -43 28 81 51 17 84 28 67 54 61 -61 57 -75 -46 -62 44
42 -11 22 -93 -98 -45 -11 -26 -39 -92 92 -94 75 -27 55 -68 -99 35 33 -32 19 -90 -66 -78 21 -76 79 46 -22 67 -11 71 -45 -90 28
-43 -85 -84 32 -23 75 -27 -67 50 46 88 32 -3 23 -36 15 92 -76 0 -87 46 -26 42 -9 2 8 31 -78 13 41 51 71 7 67 -48
34 -8 25 67 92 -80 55 23 -32 -73 37 33 69 61 -68 82 -44 6 -27 -2 59 81 -72 81 -7 19 31 -87 -75 -52 -85 59 40 40 -24
