16 16
36345 41172 36059 51973 46079 28316 43978 37825 39480 28580 24996 42656 27329 34644 37478 39802
43589 37838 38685 50280 49328 36596 38782 40962 40593 32045 28730 47720 27922 37735 40119 40609
39446 41665 43549 50091 53225 37164 47882 38939 51791 34434 34072 47895 48593 44833 46519 43198
42526 41204 48942 58262 60726 51418 59185 48763 58796 42533 43406 59634 43200 48857 54126 51217
39406 35062 33095 45260 46765 35807 42356 36511 41201 32079 39927 44204 39097 31966 48211 44795
37076 32263 30685 41928 44733 37567 35162 33371 37253 24756 29598 44323 31354 32376 38098 41297
37452 28913 32883 40021 41080 34951 34442 33600 42879 27919 31947 40847 38227 33417 38454 38679
52689 48350 41862 58201 58210 47424 46791 40811 55734 38785 39455 63408 43588 46253 56100 53629
38872 44618 45624 54426 51110 39330 55415 52510 49296 43449 45618 54957 44097 43710 61950 51004
40914 33604 37875 48403 52786 39639 39179 37810 40461 29592 29429 45192 31543 40142 37398 42360
37029 33286 44489 51204 54354 33611 46297 47053 44763 35013 40105 46778 41127 41498 45321 45812
49054 35349 39852 50974 52725 39130 40767 36073 49114 33246 38444 49904 41901 40043 47107 47953
36057 27827 30528 36996 44194 26440 34346 30335 37651 24008 32248 40387 31008 25643 37954 38152
37493 34580 32061 41542 50609 30412 33218 32019 42924 25928 34834 45442 32981 30453 41321 36439
46022 38115 37455 53459 50751 30043 46735 35654 43507 31644 31864 46191 30550 37133 42277 46111
54689 44496 50519 59855 56316 52283 55060 50789 58958 42655 0 0 0 0 0 59824
